name	mass	radius	semi_major_axis	temp_eq	star_luminosity	star_mass	star_radius	star_teff
           HATS-66 b	1748.05624	16.81347	 0.04709	1997.16619	 5.85811	 1.40600	 1.85100	6606.00000
           HATS-56 b	191.33270	18.92076	 0.06043	1902.16710	 7.93741	 1.57300	 2.20100	6536.00000
         WASP-87 A b	702.40078	15.52444	 0.02946	2311.37503	 4.11343	 1.20400	 1.62700	6450.00000
         HD 106315 c	15.19220	 3.94556	 0.15260	849.17696	 1.95685	 1.07000	 1.18000	6290.00000
           KOI-195 b	108.06166	12.21779	 0.04140	1306.74410	 0.81633	 0.91000	 0.92000	5725.00000
            K2-265 b	 6.54091	 1.71049	 0.03376	1422.02263	 0.77117	 0.91500	 0.97700	5477.00000
       Kepler-1656 b	48.59596	 5.02050	 0.19700	758.73020	 1.17192	 1.03000	 1.10000	5731.00000
          HAT-P-26 b	18.59296	 6.32971	 0.04790	995.28638	 0.37098	 0.81600	 0.78800	5079.00000
         Kepler-56 b	22.24799	 6.50121	 0.10280	1497.40478	 8.81562	 1.32000	 4.23000	4840.00000
           KOI-188 b	79.45710	10.96238	 0.04640	1088.86308	 0.47441	 0.93000	 0.86000	5170.00000
           HATS-44 b	177.98391	11.95998	 0.03649	1192.20533	 0.42896	 0.86000	 0.84700	5080.00000
          HAT-P-67 b	108.06166	23.37072	 0.06505	1517.12693	 3.61374	 1.64200	 1.54600	6406.00000
          WASP-131 b	85.81367	13.67496	 0.06070	1459.82898	 2.77871	 1.06000	 1.53000	6030.00000
         BD+20 594 b	16.30460	 2.23059	 0.24100	545.59880	 0.85464	 0.96100	 0.92800	5766.00000
          WASP-157 b	183.06916	11.71338	 0.05290	1289.97056	 1.28673	 1.26000	 1.11000	5840.00000
          CoRoT-22 b	19.06970	 4.88039	 0.09200	1007.08169	 1.44145	 1.09900	 1.13600	5939.00000
           HATS-52 b	711.93563	15.49081	 0.02498	1890.01922	 1.28160	 1.11100	 1.04600	6010.00000
            KELT-3 b	450.68068	14.94157	 0.04117	1823.82503	 3.11424	 1.28200	 1.48200	6304.00000
         Kepler-11 d	 7.29996	 3.12000	 0.15900	720.40947	 1.13076	 0.95000	 1.10000	5680.00000
           CoRoT-5 b	148.42587	14.90794	 0.04947	1441.70378	 1.74855	 1.00000	 1.18600	6100.00000
           HATS-18 b	629.30025	14.98641	 0.01761	2062.33237	 0.91863	 1.03700	 1.02000	5600.00000
           KELT-18 b	375.03752	17.59810	 0.04550	2082.77626	 6.46920	 1.52400	 1.90800	6670.00000
           HAT-P-8 b	425.89006	16.81347	 0.04490	1773.49660	 3.31186	 1.28000	 1.58000	6200.00000
         Kepler-11 c	 2.89999	 2.87000	 0.10600	882.31781	 1.13076	 0.95000	 1.10000	5680.00000
         Kepler-56 c	180.84436	 9.86390	 0.16520	1180.98348	 8.81562	 1.32000	 4.23000	4840.00000
         HD 163607 c	699.54032	13.47319	 2.39000	228.68392	 2.58584	 1.12000	 1.76000	5522.00000
           KELT-11 b	61.97654	15.35630	 0.06229	1711.12947	 5.52364	 1.43800	 2.72000	5370.00000
            HATS-2 b	427.47921	13.09209	 0.02300	1574.92562	 0.54045	 0.88200	 0.89800	5227.00000
          HD 10697 b	2172.99282	12.91275	 2.14000	247.30605	 2.82910	 1.13000	 1.79000	5600.00000
          WASP-165 b	209.13109	14.12332	 0.04823	1626.31309	 2.70214	 1.24800	 1.75000	5599.00000
           HATS-23 b	467.20776	20.84870	 0.03397	1658.56727	 1.44059	 1.12100	 1.19900	5780.00000
          WASP-151 b	98.52681	12.66615	 0.05500	1288.89180	 1.38627	 1.07700	 1.14000	5871.00000
           HATS-16 b	1039.29889	14.57167	 0.03744	1591.05885	 1.49167	 0.97000	 1.23800	5738.00000
            TrES-2 b	398.23899	13.32748	 0.03555	1496.13010	 1.05151	 0.98000	 1.00000	5850.00000
          WASP-120 b	1608.21174	16.98161	 0.05220	1892.01998	 5.78821	 1.45000	 1.93000	6450.00000
        Kepler-289 b	 7.31005	 2.15212	 0.21000	630.34999	 1.15584	 1.08000	 1.00000	5990.00000
           HATS-40 b	505.34717	17.71019	 0.04997	2121.90080	 7.98615	 1.56000	 2.26000	6460.00000
         HD 219134 b	 4.73882	 1.60199	 0.03847	1018.93122	 0.26495	 0.79400	 0.77800	4699.00000
             TOI 172	1719.45168	10.81667	 0.09130	1223.35361	 2.86712	 1.12400	 1.77400	5644.00000
          HD 18742 b	1080.61658	13.06967	 1.82000	400.00937	14.07126	 1.36000	 5.13000	4940.00000
           HATS-29 b	207.54195	14.02243	 0.05475	1211.33432	 1.06837	 1.03200	 1.07300	5670.00000
         Kepler-25 c	14.30228	 5.15389	 0.11000	1049.54844	 2.43798	 1.22000	 1.36000	6190.00000
            KELT-8 b	277.78203	20.84870	 0.04571	1677.34471	 2.74475	 1.21100	 1.67000	5754.00000
          WASP-156 b	40.68204	 5.71658	 0.04530	969.77835	 0.30140	 0.84200	 0.76000	4910.00000
          WASP-111 b	587.98255	16.16335	 0.03914	2121.72320	 5.15530	 1.50000	 1.85000	6400.00000
        TRAPPIST-1 b	 0.85814	 1.08604	 0.01111	400.59836	 0.00053	 0.08000	 0.11700	2560.00000
            K2-287 b	100.11595	 9.49401	 0.12060	844.94248	 1.08127	 1.05600	 1.07000	5695.00000
           HATS-36 b	886.74125	14.15694	 0.05290	1378.57299	 1.60420	 1.13500	 1.18600	5970.00000
           CoRoT-8 b	68.58737	 6.38015	 0.06300	856.39101	 0.35451	 0.88000	 0.77000	5080.00000
           WASP-82 b	394.10722	18.71900	 0.04470	2188.87590	 7.61653	 1.63000	 2.18000	6500.00000
            HATS-7 b	38.13941	 6.31066	 0.04012	1083.41989	 0.36827	 0.84900	 0.81500	4985.00000
           CoRoT-9 b	266.97586	10.53644	 0.40700	413.13446	 0.79421	 0.99000	 0.94000	5625.00000
           GJ 3470 b	12.57965	 4.19000	 0.03557	647.96700	 0.03680	 0.51000	 0.48000	3652.00000
          HAT-P-57 b	587.98255	15.83829	 0.04060	2198.25047	 6.39173	 1.47000	 1.50000	7500.00000
          HAT-P-46 b	156.68940	14.39233	 0.05770	1454.34387	 2.45452	 1.28400	 1.39600	6120.00000
          HAT-P-21 b	1291.33682	11.47800	 0.04940	1282.93721	 1.06891	 0.94700	 1.10500	5588.00000
          HD 46375 b	73.10053	11.43316	 0.04100	1238.54118	 0.65595	 0.91000	 1.00000	5199.00000
           NGTS-3A b	756.43161	16.58929	 0.02300	1707.91420	 0.74744	 1.01700	 0.93000	5570.00000
           WASP-12 b	467.20776	21.29706	 0.02340	2580.73694	 4.03333	 1.43400	 1.65700	6360.00000
            K2-140 b	295.58042	13.56287	 0.06800	1065.22749	 0.98151	 0.96000	 1.06000	5585.00000
          HAT-P-32 b	273.33243	20.05287	 0.03430	1840.14018	 2.23995	 1.17600	 1.38700	6001.00000
             EP212 b	15192.19784	 9.18016	 0.06210	1429.78523	 2.65264	 1.12410	 1.40000	6231.00000
            WASP-5 b	520.28510	13.12572	 0.02729	1732.29171	 1.11365	 1.00000	 1.08400	5700.00000
           CoRoT-4 b	228.83645	13.33869	 0.09000	1066.96854	 1.74321	 1.10000	 1.15000	6190.00000
            TrES-3 b	607.05226	14.62772	 0.02260	1654.32327	 0.63527	 0.92400	 0.81300	5720.00000
           Qatar-6 b	212.30938	11.90394	 0.04230	1006.45661	 0.30487	 0.82200	 0.72200	5052.00000
           WASP-41 b	298.75870	13.22660	 0.04000	1320.67879	 0.80801	 0.95000	 1.01000	5450.00000
            K2-139 b	121.09262	 9.10169	 0.18110	555.56210	 0.51883	 0.91800	 0.86000	5287.00000
          CoRoT-31 b	266.97586	16.36511	 0.05860	1568.55490	 3.45116	 1.25000	 2.15000	5370.00000
           WASP-25 b	184.34048	14.12332	 0.04740	1241.29148	 0.88575	 1.00000	 0.95000	5750.00000
        Kepler-411 d	15.19220	 3.31898	 0.27900	404.43369	 0.34298	 0.83000	 0.79000	4974.00000
           HATS-64 b	295.58042	18.76383	 0.06560	1795.29169	 7.42343	 1.56200	 2.11300	6560.00000
       OGLE-TR-132 b	371.85924	13.78705	 0.03060	1981.60269	 2.39754	 1.26000	 1.34000	6210.00000
           TOI 125 b	 8.48602	 2.75506	 0.05210	1034.38397	 0.50730	 0.87100	 0.85200	5282.00000
           HATS-42 b	597.51740	15.69257	 0.03689	1863.40248	 2.65219	 1.27300	 1.48000	6060.00000
        HIP 116454 b	11.82322	 2.53323	 0.09800	666.86811	 0.30871	 0.77500	 0.71600	5089.00000
           HAT-P-9 b	212.94503	15.69257	 0.05300	1528.11505	 2.54351	 1.28000	 1.32000	6350.00000
           TOI-216 c	189.10790	11.27063	 0.20680	488.31062	 0.40232	 0.87400	 0.83800	5026.00000
           TOI 125 c	 8.61315	 2.78992	 0.08180	822.44088	 0.50730	 0.87100	 0.85200	5282.00000
           TOI-270 b	 1.90697	 1.24700	 0.03060	575.37546	 0.01704	 0.40000	 0.38000	3386.00000
            K2-108 b	59.43391	 5.27943	 0.05730	1464.76455	 2.46880	 1.12100	 1.75000	5474.00000
          WASP-126 b	88.99195	10.76062	 0.04490	1493.57831	 1.63874	 1.12000	 1.27000	5800.00000
          HD 21749 b	23.20147	 2.83598	 0.19140	428.49308	 0.20102	 0.73000	 0.69500	4640.00000
            K2-106 c	 5.72091	 2.46598	 0.10500	791.48145	 0.70672	 0.93000	 0.83000	5814.00000
           HD 7924 b	 8.67672	11.76943	 0.05664	926.78729	 0.39237	 0.83200	 0.78000	5177.00000
            K2-290 c	245.99919	11.27623	 0.30500	676.38506	 3.23320	 1.19400	 1.51100	6302.00000
         Kepler-10 b	 3.33084	 1.46950	 0.01685	2189.21240	 1.08100	 0.91000	 1.06500	5708.00000
          HAT-P-27 b	209.76675	11.82547	 0.04030	1207.33031	 0.57128	 0.94500	 0.89800	5300.00000
          CoRoT-29 b	270.15415	10.08808	 0.03900	1219.47879	 0.55670	 0.97600	 0.90000	5260.00000
            K2-110 b	16.68599	 2.59152	 0.10210	638.91456	 0.28755	 0.73800	 0.71300	5010.00000
            K2-229 b	 2.59030	 1.16405	 0.01289	1961.21808	 0.40807	 0.83700	 0.79300	5185.00000
           HATS-32 b	292.40213	14.00002	 0.04024	1480.80863	 1.14052	 1.09900	 1.09700	5700.00000
           HATS-15 b	689.68764	12.38592	 0.02712	1493.24207	 0.60724	 0.87100	 0.92200	5311.00000
         HD 106315 b	12.58600	 2.44356	 0.09012	1110.53994	 1.95685	 1.07000	 1.18000	6290.00000
          WASP-168 b	133.48793	16.81347	 0.05190	1344.03284	 1.45959	 1.08000	 1.12000	6000.00000
          WASP-137 b	216.44114	14.23541	 0.05190	1662.63153	 3.38437	 1.21600	 1.65000	6100.00000
      EPIC 220504338	406.82036	10.20017	 0.05750	1157.84289	 0.98671	 1.00700	 1.04700	5627.00000
        Kepler-167 e	1271.31363	10.20017	 1.89000	140.81200	 0.23276	 0.76000	 0.70000	4796.00000
           WASP-32 b	1144.18226	13.22660	 0.03940	1561.32784	 1.53164	 1.10000	 1.11000	6100.00000
          HAT-P-38 b	84.86018	 9.24741	 0.05230	1080.32582	 0.61731	 0.88600	 0.92300	5330.00000
           WASP-89 b	1875.18760	11.65734	 0.04270	1089.84593	 0.41911	 0.92000	 0.88000	4955.00000
          Kepler-7 b	137.61970	18.09129	 0.06246	1629.02572	 4.53932	 1.36000	 2.02000	5933.00000
          CoRoT-19 b	352.78953	14.45959	 0.05180	1657.85955	 3.36223	 1.21000	 1.65000	6090.00000
   Kepler-34 (AB)  b	69.92225	 8.56030	 1.08960	287.69521	 1.32803	 2.06870	 1.10000	5913.00000
          WASP-158 b	886.74125	11.99361	 0.05170	1587.70258	 2.82043	 1.38000	 1.39000	6350.00000
              XO-3 b	3747.19691	13.64133	 0.04540	1889.69610	 4.21442	 1.41000	 1.49000	6781.00000
            K2-260 b	441.78149	17.39634	 0.04070	1982.88682	 4.21409	 1.39000	 1.69000	6367.00000
           HATS-69 b	183.38699	10.59249	 0.03211	1295.69496	 0.48252	 0.89200	 0.87850	5137.00000
          HAT-P-44 b	124.58874	14.34750	 0.05070	1122.71308	 0.67643	 0.93900	 0.97900	5295.00000
              XO-6 b	603.87397	23.20259	 0.08150	1576.89371	 6.81997	 1.47000	 1.93000	6720.00000
            WASP-8 b	713.20694	11.63492	 0.08010	943.27097	 0.80192	 1.03300	 0.95300	5600.00000
           HATS-14 b	340.39422	11.64613	 0.03815	1278.09057	 0.63837	 0.96700	 0.93300	5346.00000
           HATS-55 b	292.71996	14.02243	 0.05412	1368.22111	 1.69728	 1.19550	 1.12600	6214.00000
           HATS-59 b	256.16970	12.62131	 0.06112	1128.01675	 0.99596	 1.03800	 1.03600	5670.00000
          CoRoT-21 b	718.29220	14.57167	 0.04170	2041.81675	 5.01876	 1.29000	 1.94500	6200.00000
          Qatar-10 b	233.92171	17.19458	 0.02860	1955.39379	 1.98576	 1.15600	 1.25400	6124.00000
           HATS-13 b	172.58082	13.58528	 0.04057	1250.41929	 0.65726	 0.96200	 0.88700	5523.00000
           TOI-270 c	 6.61083	 2.42002	 0.04720	463.27733	 0.01704	 0.40000	 0.38000	3386.00000
           HATS-43 b	82.95321	13.22660	 0.04944	1000.24561	 0.40017	 0.83700	 0.81200	5099.00000
              K2-3 c	 2.13899	 1.84948	 0.14050	378.05210	 0.06691	 0.61200	 0.55300	3951.00000
         Kepler-10 c	17.20000	 2.35052	 0.24100	578.78788	 1.08100	 0.91000	 1.06500	5708.00000
             WTS-2 b	355.96782	14.57167	 0.01855	1544.27156	 0.32497	 0.82000	 0.76100	5000.00000
         Kepler-74 b	216.12332	14.79585	 0.08400	1250.27053	 2.74262	 1.40000	 1.51000	6050.00000
              XO-4 b	513.61071	14.76223	 0.05485	1461.11933	 2.27695	 1.32000	 1.55000	5700.00000
          WASP-144 b	139.84450	 9.52763	 0.03160	1208.47443	 0.35366	 0.81000	 0.81000	4950.00000
          KELT-2 A b	472.29301	14.63893	 0.05498	1723.45563	 4.35216	 1.31000	 1.84200	6148.00000
          WASP-128 b	11820.03844	10.50281	 0.03590	1625.28407	 1.49336	 1.15500	 1.15200	5950.00000
          CoRoT-24 b	 5.72091	 3.69896	 0.05600	935.39212	 0.39867	 0.91000	 0.86000	4950.00000
         MASCARA-1 b	1175.96510	16.81347	 0.04300	2545.57383	12.89250	 1.72000	 2.10000	7554.00000
      Kepler-420 A b	460.85119	10.53644	 0.38200	512.71981	 1.06440	 0.99000	 1.13000	5520.00000
    Kepler-16 (AB) b	105.83686	 8.44933	 0.70480	206.07229	 0.14875	 0.84990	 0.65000	4450.00000
            K2-237 b	508.52545	18.49482	 0.03700	1875.71395	 2.81402	 1.28000	 1.43000	6257.00000
          WASP-124 b	190.69704	13.89914	 0.04990	1319.02849	 1.25145	 1.07000	 1.02000	6050.00000
        BD-10 3166 b	146.20107	11.54525	 0.04600	1587.64013	 2.23233	 0.99000	 1.71000	5400.00000
           TOI-216 b	26.06193	 8.20497	 0.12930	617.84618	 0.40232	 0.87400	 0.83800	5026.00000
           HATS-28 b	213.58069	13.38352	 0.04131	1254.10102	 0.69738	 0.92900	 0.92200	5498.00000
         Kepler-21 b	 5.08525	 1.63875	 0.04272	1950.92878	 4.38876	 1.34000	 1.86000	6131.00000
        Kepler-338 b	30.60688	 2.57807	 0.11700	1101.65003	 3.34546	 1.10000	 1.74000	5923.00000
          HAT-P-36 b	582.26164	14.16815	 0.02380	1826.83864	 1.04556	 1.02200	 1.09600	5580.00000
       HD 202772 A b	320.37103	17.50843	 0.05190	2132.60542	 9.24174	 1.70300	 2.61400	6230.00000
          WASP-114 b	562.23845	15.00883	 0.02851	2028.60257	 2.28564	 1.28900	 1.43000	5940.00000
           WASP-83 b	95.34852	11.65734	 0.05900	1114.76288	 0.89267	 1.11000	 1.05000	5480.00000
         Kepler-17 b	778.67960	14.70618	 0.02591	1774.61349	 1.10556	 1.16000	 1.05000	5781.00000
        Kepler-412 b	298.44087	14.85190	 0.02959	1828.60001	 1.62562	 1.16700	 1.28700	5750.00000
           WASP-33 b	667.43965	17.96800	 0.02558	2681.00945	 5.61373	 1.49500	 1.44400	7400.00000
         HD 189733 b	362.96004	12.75582	 0.03142	1189.88141	 0.32861	 0.80000	 0.80500	4875.00000
           WASP-66 b	737.36190	15.58048	 0.05460	1801.77243	 5.21726	 1.30000	 1.75000	6600.00000
           HAT-P-4 b	216.12332	14.23541	 0.04460	1695.81989	 2.73178	 1.26000	 1.59000	5890.00000
        Kepler-492 b	12681.35342	 9.59489	 0.09870	737.23762	 0.47765	 0.92500	 0.84100	5237.00000
             KPS-1 b	346.43296	11.54525	 0.02690	1446.20922	 0.52564	 0.89200	 0.90700	5165.00000
          CoRoT-17 b	772.32303	11.43316	 0.04610	1625.52364	 2.46395	 1.04000	 1.59000	5740.00000
          WASP-109 b	289.22385	16.17456	 0.04630	1695.16871	 2.93948	 1.20300	 1.34600	6520.00000
          HAT-P-47 b	65.47265	14.71739	 0.06150	1604.24715	 4.15999	 1.38700	 1.51500	6703.00000
         Kepler-11 f	 1.99999	 2.49000	 0.25000	574.52373	 1.13076	 0.95000	 1.10000	5680.00000
   EPIC  211945201 b	27.01541	 6.12010	 0.14800	887.15404	 2.25308	 1.18000	 1.38000	6025.00000
           WASP-88 b	177.98391	19.05527	 0.06431	1763.61677	 6.64402	 1.45000	 2.08000	6431.00000
          HAT-P-19 b	92.80589	12.68857	 0.04660	1009.93181	 0.37430	 0.84200	 0.82000	4990.00000
    EPIC 228754001 b	157.32506	12.20658	 0.09160	1593.00545	 8.58700	 1.19000	 4.11000	4878.00000
       Kepler-1655 b	 4.98991	 2.21299	 0.10300	937.49111	 1.36082	 1.03000	 1.03000	6148.00000
          HAT-P-11 b	23.39217	 4.36029	 0.05300	834.99981	 0.21865	 0.80900	 0.68300	4780.00000
          HD 88133 b	95.34852	11.20898	 0.04700	1698.89672	 3.04691	 1.20000	 1.93000	5494.00000
          WASP-162 b	1652.70771	11.20898	 0.08710	936.46356	 0.87285	 0.95000	 1.11000	5300.00000
          WASP-140 b	775.50131	16.14093	 0.03230	1316.73221	 0.52020	 0.90000	 0.87000	5260.00000
          WASP-166 b	32.41850	 7.06166	 0.06420	1271.74803	 1.79032	 1.19000	 1.22000	6050.00000
           HATS-26 b	206.58846	19.61572	 0.04735	1925.14170	 5.07565	 1.29900	 2.04000	6071.00000
            K2-216 b	 7.91393	 1.80465	 0.02800	1101.08914	 0.19137	 0.70000	 0.72000	4503.00000
          HAT-P-22 b	682.37759	12.10570	 0.04140	1281.45518	 0.76739	 0.91600	 1.04000	5302.00000
          WASP-117 b	87.56173	11.44437	 0.09459	1036.65024	 1.63572	 1.12600	 1.17000	6040.00000
           HATS-33 b	378.85146	13.78705	 0.03727	1430.10293	 0.96173	 1.06200	 1.02200	5659.00000
         HD 213885 b	 8.82927	 1.74501	 0.02012	2132.40101	 1.38992	 1.06800	 1.10100	5978.00000
          CoRoT-28 b	153.82895	10.70458	 0.05900	1364.40900	 2.00106	 1.01000	 1.78000	5150.00000
           GJ 1214 b	 6.45997	 2.67000	 0.01411	576.33470	 0.00351	 0.15000	 0.21600	3026.00000
           WASP-39 b	88.99195	14.23541	 0.04860	1117.43029	 0.61152	 0.93000	 0.89500	5400.00000
            51 Peg b	149.37935	21.29706	 0.05200	1378.33439	 1.62059	 1.11000	 1.26600	5793.00000
